CÓD. AGENTE,FORNECEDOR,MÉDIA IQF,DATA
11104,EBAZAR.COM.BR. LTDA,100,2025-04-14 11:08:51
11104,EBAZAR.COM.BR. LTDA,100,2025-04-16 08:50:10
11104,EBAZAR.COM.BR. LTDA,84.37,2025-04-28 17:37:56
8452,ECCO AIR LOCACAO E COMERCIO DE EQUIPAMENTOS DE VENTILACAO LTDA,100,2025-04-30 00:00:00
11344,ECOPLAN SOLUCOES AMBIENTAIS EIRELI,97.5,2025-04-23 00:00:00
4229,EDMILSON JOSE DE LIMA JUNIOR,100,2025-04-02 00:00:00
20988,EDRIGELSON OTAVIO PIRES,96.25,2025-04-09 00:00:00
18027,ELX COMERCIO E MANUTENCAO DE MAQUINAS LTDA,100,2025-04-09 00:00:00
16179,"EMARES - AYROMAR INDUSTRIA, COMERCIO E SERVICOS MARITIMOS LTDA",100,2025-04-08 00:00:00
15927,EMPORIO CUBATAO LTDA,100,2025-04-17 00:00:00
2845,EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,97.5,2025-04-17 00:00:00
